id,name,team,progressive_carries,progressive_passes,progressive_passes_received
24,Benjamin White,Arsenal,1.73,4.44,3.16
17,Bukayo Saka,Arsenal,5,3.65,13.3
15,David Raya Martin,Arsenal,0,0.37,0
16,Declan Rice,Arsenal,2.87,6.11,2.99
12,Ethan Nwaneri,Arsenal,4.65,3.33,11.4
3,Gabriel dos Santos Magalhães,Arsenal,0.38,4.79,0.42
2,Gabriel Fernando de Jesus,Arsenal,2.21,2.79,8.38
9,Gabriel Martinelli Silva,Arsenal,4.88,2.05,11.4
8,Jakub Kiwior,Arsenal,0.4,3.84,0.08
7,Jorge Luiz Frello Filho,Arsenal,1.54,6.15,0.77
6,Jurriën Timber,Arsenal,2.12,5.43,3.87
4,Kai Havertz,Arsenal,1.68,2.93,5.43
21,Kieran Tierney,Arsenal,2.76,5.17,10
23,Leandro Trossard,Arsenal,2.83,3.57,7.99
13,Martin Ødegaard,Arsenal,3.57,10,5.97
633,Mikel Merino,Arsenal,0.63,3.92,5.34
597,Myles Lewis-Skelly,Arsenal,2.43,4.67,2.43
665,Nathan Butler-Oyedeji,Arsenal,0,0,0
25,Oleksandr Zinchenko,Arsenal,1.69,8.14,2.37
186,Raheem Sterling,Arsenal,4.91,3.27,14.4
578,Riccardo Calafiori,Arsenal,2.02,4.95,2.66
20,Thomas Partey,Arsenal,1.16,5.95,1.54
22,Tomiyasu Takehiro,Arsenal,0,10,0
18,William Saliba,Arsenal,0.47,4.08,0.18
233,Amadou Onana,Aston Villa,1.61,4.17,0.89
731,Andrés García,Aston Villa,7.43,4.29,8
167,Axel Disasi,Aston Villa,1.85,2.96,0.93
42,Boubacar Kamara,Aston Villa,0.99,4.43,0.36
35,Diego Carlos Santos Silva,Aston Villa,0.33,3.7,0
725,Donyell Malen,Aston Villa,3.53,1.76,8.82
31,Emiliano Buendía Stati,Aston Villa,2.73,6.36,5.45
47,Emiliano Martínez Romero,Aston Villa,0,0.11,0
44,Ezri Konsa Ngoyo,Aston Villa,0.74,2.76,0.34
45,Ian Maatsen,Aston Villa,2.44,3.94,8.19
53,Jacob Ramsey,Aston Villa,3.39,3.78,6.33
710,Jamaldeen Jimoh,Aston Villa,1.89,1.08,4.59
38,Jhon Durán,Aston Villa,0.99,1.83,6.2
48,John McGinn,Aston Villa,1.3,4.17,3.52
50,Kosta Nedeljković,Aston Villa,0.71,4.29,0
598,Lamare Bogarde,Aston Villa,2.26,2.64,1.7
28,Leon Bailey,Aston Villa,4.57,2.76,9.53
36,Lucas Digne,Aston Villa,0.88,2.18,5.44
762,Marco Asensio,Aston Villa,2.65,5.42,20
385,Marcus Rashford,Aston Villa,4.49,2.65,8.57
32,Matty Cash,Aston Villa,2.09,1.83,3.91
54,Morgan Rogers,Aston Villa,3.29,3.55,5.43
58,Ollie Watkins,Aston Villa,1.9,1.07,5.71
52,Pau Torres,Aston Villa,1.79,4.33,0.36
51,Robin Olsen,Aston Villa,0,0,0
29,Ross Barkley,Aston Villa,2.31,5.54,1.54
49,Tyrone Mings,Aston Villa,0.56,3.23,0.08
57,Youri Tielemans,Aston Villa,1.16,6.99,1.43
81,Adam Smith,Bournemouth,0.85,2.77,1.92
77,Alex Scott,Bournemouth,1.79,6.19,3.93
78,Antoine Semenyo,Bournemouth,3.93,3.06,7.92
687,Ben Winterburn,Bournemouth,6.67,0,6.67
74,Dango Ouattara,Bournemouth,3.54,1.93,8.57
69,Daniel Jebbison,Bournemouth,3.08,2.31,12.3
62,David Brooks,Bournemouth,3.27,3.27,7.76
580,Dean Huijsen,Bournemouth,1.52,4.89,0.37
65,Enes Ünal,Bournemouth,1.05,3.16,5.79
617,Francisco Evanilson de Lima Barbosa,Bournemouth,1.12,1.09,3.84
85,Illia Zabarnyi,Bournemouth,0.78,4.06,0.12
68,James Hill,Bournemouth,0.6,3.2,1.6
